CollarFrequency.x,MeanOverPCA_Home,MeanUnderPCA_Home,NumberPoints_Home,geometry,ID.x,MeanCN_Home,MeanCP_Home,NumberCells_Home,CollarFrequency1,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,ratio,CollarFrequency.y,MeanOverPCA_Core,MeanUnderPCA_Core,NumberPoints_Core,ID.y,MeanCN_Core,MeanCP_Core,NumberCells_Core
149.093,-0.075672048330455835,0.02207670464546279,34,"c(861317.286826, 861319.79879, 861321.671168, 861325.268625, 861325.326468, 861325.624671, 861399.701586, 861433.952425, 861434.738929, 861442.0644, 861449.065206, 861456.107284, 861474.774416, 861532.126889, 861532.469193, 861540.254636, 861547.235005, 861547.578353, 861548.761417, 861554.275434, 861624.158813, 861665.122222, 861672.119962, 861679.441388, 861705.488155, 861757.339638, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861849.72802, 861885.287111, 861934.012169, 861937.247679, 
5384748.49633, 5384647.77876, 5384704.00748, 5384592.27361, 5384513.56077, 5384435.29947, 5384745.49557, 5384322.76334, 5384390.00847, 5384469.02141, 5384548.43025, 5384627.41541, 5384741.77222, 5384388.48445, 5384309.79923, 5384456.4535, 5384614.15194, 5384535.46671, 5384749.06613, 5384693.13733, 5384744.94889, 5384479.8877, 5384559.29705, 5384638.31058, 5384752.96884, 5384455.61108, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384655.10513, 5384748.45621, 5384708.34136, 5384753.58234
)",1,47.348897188448056,1418.8207369576855,394,X149.093,3.78,4.95,6.21,7.74,9.36,11.16,13.14,15.39,18,20.97,24.48,28.53,33.57,39.87,48.06,60.84,0.21597633136094674,NA,NA,NA,NA,NA,NA,NA,NA
149.124,-1.0298390220353861,0.525172001661598,11,"c(861665.122222, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861933.149237, 5384479.8877, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384416.47881)",2,47.05319159371512,1372.0795215425037,84,X149.124,0.63,0.81,1.08,1.35,1.62,1.89,2.25,2.7,3.15,3.6,4.23,4.86,5.58,6.48,7.65,9.45,0.2380952380952381,NA,NA,NA,NA,NA,NA,NA,NA
149.173,0.34859175552241295,0.12249506135855721,13,"c(861532.126889, 861540.254636, 861547.235005, 861547.578353, 861665.122222, 861672.119962, 861757.339638, 861764.37804, 861933.149237, 861934.012169, 861939.836933, 861940.143675, 861947.112887, 5384388.48445, 5384456.4535, 5384614.15194, 5384535.46671, 5384479.8877, 5384559.29705, 5384455.61108, 5384534.59694, 5384416.47881, 5384708.34136, 5384574.15071, 5384495.88878, 5384653.58857)",3,46.958129820885596,1549.8810920219917,308,X149.173,4.32,5.67,7.11,8.64,10.35,12.24,14.31,16.74,19.53,22.77,26.82,32.04,38.34,46.44,57.24,74.52,0.1920289855072464,NA,NA,NA,NA,NA,NA,NA,NA
149.213,0.6469797866204446,-0.351993104665066,15,"c(861317.833663, 861317.848511, 861318.621628, 861319.272677, 861325.326468, 861325.624671, 861419.623465, 861426.950281, 861433.952425, 861434.738929, 861442.0644, 861525.14413, 861532.126889, 861532.469193, 861540.254636, 5384288.64592, 5384210.3568, 5384355.89093, 5384120.6555, 5384513.56077, 5384435.29947, 5384164.34166, 5384243.35456, 5384322.76334, 5384390.00847, 5384469.02141, 5384230.78608, 5384388.48445, 5384309.79923, 5384456.4535)",4,47.08217149951082,1488.365934602507,273,X149.213,2.34,3.06,3.78,4.59,5.4,6.39,7.47,8.64,9.99,11.61,13.59,16.02,19.08,22.86,27.81,35.37,0.21119592875318066,NA,NA,NA,NA,NA,NA,NA,NA
149.233,-0.5696468461608136,0.11744900870550969,14,"c(861742.279266, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861932.086186, 861933.149237, 861939.836933, 861940.143675, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384349.2053, 5384416.47881, 5384574.15071, 5384495.88878)",5,47.08473596416536,1353.2797771516393,122,X149.233,0.99,1.26,1.62,1.98,2.34,2.79,3.33,3.87,4.59,5.4,6.3,7.47,9.18,11.25,14.58,19.44,0.17129629629629628,NA,NA,NA,NA,NA,NA,NA,NA
149.294,0.4010333550705813,-0.03062162264316285,23,"c(861317.833663, 861318.621628, 861325.624671, 861426.950281, 861433.952425, 861434.738929, 861442.0644, 861449.065206, 861456.107284, 861525.14413, 861532.126889, 861532.469193, 861540.254636, 861547.235005, 861547.578353, 861650.016843, 861658.143861, 861665.122222, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861835.346752, 5384288.64592, 5384355.89093, 5384435.29947, 5384243.35456, 5384322.76334, 5384390.00847, 5384469.02141, 5384548.43025, 5384627.41541, 5384230.78608, 5384388.48445, 
5384309.79923, 5384456.4535, 5384614.15194, 5384535.46671, 5384254.21955, 5384322.18887, 5384479.8877, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384193.77517)",6,46.93088555740098,1348.2735280182403,236,X149.294,1.44,1.89,2.43,2.97,3.69,4.41,5.22,6.12,7.2,8.55,9.99,11.97,14.31,17.64,21.87,28.35,0.1841269841269841,NA,NA,NA,NA,NA,NA,NA,NA
149.394,0.5511041819113318,-0.3484470797370281,31,"c(861317.286826, 861317.833663, 861317.848511, 861318.621628, 861319.272677, 861321.671168, 861325.624671, 861393.26768, 861399.701586, 861419.623465, 861426.950281, 861433.952425, 861434.738929, 861442.0644, 861449.065206, 861456.107284, 861468.348392, 861474.774416, 861525.14413, 861532.126889, 861532.469193, 861540.254636, 861543.711797, 861547.235005, 861547.578353, 861617.707028, 861650.016843, 861658.143861, 861700.173228, 861742.279266, 861766.825518, 5384748.49633, 5384288.64592, 5384210.3568, 
5384355.89093, 5384120.6555, 5384704.00748, 5384435.29947, 5384127.94674, 5384745.49557, 5384164.34166, 5384243.35456, 5384322.76334, 5384390.00847, 5384469.02141, 5384548.43025, 5384627.41541, 5384124.22267, 5384741.77222, 5384230.78608, 5384388.48445, 5384309.79923, 5384456.4535, 5384120.52742, 5384614.15194, 5384535.46671, 5384127.82162, 5384254.21955, 5384322.18887, 5384124.4008, 5384229.51871, 5384130.97295)",7,47.32819688709733,1539.450606402229,612,X149.394,5.85,7.56,9.45,11.43,13.5,15.84,18.45,21.33,24.57,28.26,32.76,38.07,44.82,53.55,65.25,82.8,0.22282608695652173,NA,NA,NA,NA,NA,NA,NA,NA
149.423,-0.3577911491839506,0.47092355082716664,11,"c(861650.016843, 861658.143861, 861665.122222, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861766.825518, 861827.221171, 861842.626048, 861843.407981, 5384254.21955, 5384322.18887, 5384479.8877, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384130.97295, 5384125.80544, 5384273.21275, 5384340.45831)",8,46.99566231117592,1311.1113721143017,111,X149.423,0.72,0.9,1.17,1.44,1.71,2.07,2.43,2.79,3.24,3.78,4.41,5.22,6.39,7.92,10.35,14.31,0.169811320754717,NA,NA,NA,NA,NA,NA,NA,NA
149.452,0.3149569437738705,0.25292376761954155,9,"c(861433.952425, 861468.348392, 861525.14413, 861532.126889, 861532.469193, 861540.254636, 861543.711797, 861658.143861, 861665.122222, 5384322.76334, 5384124.22267, 5384230.78608, 5384388.48445, 5384309.79923, 5384456.4535, 5384120.52742, 5384322.18887, 5384479.8877)",9,46.89281237256396,1403.3270263671875,91,X149.452,0.72,0.9,1.17,1.44,1.71,2.07,2.43,2.79,3.24,3.78,4.32,5.04,5.85,6.84,8.19,10.17,0.23893805309734514,NA,NA,NA,NA,NA,NA,NA,NA
149.513,-0.38978591744778257,0.053047140888157304,15,"c(861742.279266, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861766.825518, 861835.346752, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861932.086186, 861933.149237, 861939.836933, 861940.143675, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384130.97295, 5384193.77517, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384349.2053, 5384416.47881, 5384574.15071, 5384495.88878)",10,47.00529394063864,1375.423127595369,111,X149.513,1.17,1.53,1.89,2.34,2.88,3.33,3.96,4.59,5.4,6.21,7.29,8.37,9.72,11.34,13.5,16.92,0.23404255319148934,NA,NA,NA,NA,NA,NA,NA,NA
149.535,-0.5541016290700325,0.46464369103302694,17,"c(861532.126889, 861540.254636, 861650.016843, 861658.143861, 861665.122222, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861771.374164, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861932.086186, 861933.149237, 5384388.48445, 5384456.4535, 5384254.21955, 5384322.18887, 5384479.8877, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384614.00654, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384349.2053, 5384416.47881
)",11,47.017631957580996,1346.3077938906797,143,X149.535,1.17,1.53,1.89,2.25,2.7,3.15,3.69,4.23,4.86,5.58,6.48,7.56,8.91,10.8,13.68,18.36,0.20098039215686275,NA,NA,NA,NA,NA,NA,NA,NA
149.594,-0.6366199517677436,0.43597640097318946,26,"c(861658.143861, 861665.122222, 861672.119962, 861679.441388, 861705.488155, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861932.086186, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384752.96884, 5384308.92822, 5384455.61108, 5384376.89778, 
5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384349.2053, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",12,47.12308305309665,1340.4491370416456,248,X149.594,2.34,3.06,3.78,4.5,5.4,6.3,7.29,8.37,9.63,11.16,12.87,14.94,17.55,21.06,26.1,34.02,0.21428571428571427,NA,NA,NA,NA,NA,NA,NA,NA
149.613,-0.4476184511099705,0.40443399299200294,24,"c(861650.016843, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384254.21955, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 
5384748.52535, 5384682.00403, 5384576.0912, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",13,47.07897721736803,1327.0503181667502,218,X149.613,1.89,2.43,3.06,3.69,4.5,5.22,6.12,7.2,8.28,9.72,11.25,13.23,15.57,18.9,23.58,30.96,0.19767441860465115,NA,NA,NA,NA,NA,NA,NA,NA
149.633,-0.32596364803322486,0.3826379251248265,33,"c(861434.738929, 861532.126889, 861540.254636, 861547.235005, 861547.578353, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861705.488155, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861835.346752, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861932.086186, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384390.00847, 
5384388.48445, 5384456.4535, 5384614.15194, 5384535.46671, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384752.96884, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384193.77517, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384349.2053, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",14,47.11627554971664,1340.4086926069415,305,X149.633,2.43,3.15,3.96,4.95,5.94,7.2,8.55,10.17,12.06,14.13,16.56,19.26,22.68,26.91,32.58,41.13,0.20787746170678337,NA,NA,NA,NA,NA,NA,NA,NA
149.673,0.6359193335844873,-0.3975344476612561,18,"c(861317.833663, 861317.848511, 861318.621628, 861319.272677, 861325.624671, 861393.26768, 861419.623465, 861426.950281, 861433.952425, 861434.738929, 861442.0644, 861468.348392, 861525.14413, 861532.126889, 861532.469193, 861543.711797, 861617.707028, 861650.016843, 5384288.64592, 5384210.3568, 5384355.89093, 5384120.6555, 5384435.29947, 5384127.94674, 5384164.34166, 5384243.35456, 5384322.76334, 5384390.00847, 5384469.02141, 5384124.22267, 5384230.78608, 5384388.48445, 5384309.79923, 5384120.52742, 
5384127.82162, 5384254.21955)",15,46.7987388513856,1406.0890906382415,236,X149.673,1.98,2.61,3.24,3.96,4.77,5.67,6.57,7.65,8.91,10.26,11.79,13.59,15.75,18.54,22.5,28.62,0.22955974842767296,NA,NA,NA,NA,NA,NA,NA,NA
150.032,0.24217840470131605,0.09056052188084247,21,"c(861317.833663, 861317.848511, 861319.272677, 861393.26768, 861419.623465, 861426.950281, 861433.952425, 861468.348392, 861525.14413, 861543.711797, 861617.707028, 861650.016843, 861700.173228, 861742.279266, 861766.825518, 861827.221171, 861835.346752, 861842.626048, 861878.905016, 861923.245794, 861942.669778, 5384288.64592, 5384210.3568, 5384120.6555, 5384127.94674, 5384164.34166, 5384243.35456, 5384322.76334, 5384124.22267, 5384230.78608, 5384120.52742, 5384127.82162, 5384254.21955, 5384124.4008, 
5384229.51871, 5384130.97295, 5384125.80544, 5384193.77517, 5384273.21275, 5384130.90274, 5384135.27621, 5384091.58376)",16,47.385584783838475,1603.491088139134,503,X150.032,4.86,6.3,7.92,9.72,11.7,13.95,16.38,19.17,22.32,25.92,29.97,34.65,40.23,47.07,56.34,71.1,0.23037974683544304,NA,NA,NA,NA,NA,NA,NA,NA
150.052,0.6333570974147303,-0.24137640700444016,14,"c(861317.833663, 861317.848511, 861318.621628, 861393.26768, 861419.623465, 861426.950281, 861433.952425, 861434.738929, 861468.348392, 861525.14413, 861532.126889, 861532.469193, 861540.254636, 861658.143861, 5384288.64592, 5384210.3568, 5384355.89093, 5384127.94674, 5384164.34166, 5384243.35456, 5384322.76334, 5384390.00847, 5384124.22267, 5384230.78608, 5384388.48445, 5384309.79923, 5384456.4535, 5384322.18887)",17,46.71248659550749,1441.397741456695,151,X150.052,1.17,1.44,1.89,2.25,2.7,3.15,3.69,4.23,4.95,5.67,6.57,7.74,9.18,11.34,14.58,19.62,0.18807339449541283,NA,NA,NA,NA,NA,NA,NA,NA
150.072,-0.630011198514316,0.555939431057231,20,"c(861658.143861, 861665.122222, 861672.119962, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861934.012169, 861939.836933, 861940.143675, 861947.112887, 5384322.18887, 5384479.8877, 5384559.29705, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384497.40567, 5384419.14384, 5384340.45831, 
5384655.10513, 5384748.45621, 5384708.34136, 5384574.15071, 5384495.88878, 5384653.58857)",18,47.1550629470522,1348.8853177708506,151,X150.072,1.26,1.62,2.07,2.52,2.97,3.51,4.05,4.68,5.49,6.3,7.38,8.55,10.08,12.24,15.21,20.16,0.20089285714285712,NA,NA,NA,NA,NA,NA,NA,NA
150.091,-0.23027609090963858,0.3263015647570369,30,"c(861540.254636, 861547.235005, 861547.578353, 861548.761417, 861554.275434, 861624.158813, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861705.488155, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384456.4535, 5384614.15194, 5384535.46671, 5384749.06613, 
5384693.13733, 5384744.94889, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384752.96884, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",19,47.10764253058401,1337.524034564998,294,X150.091,2.7,3.51,4.32,5.31,6.3,7.38,8.64,9.99,11.61,13.41,15.57,18.09,21.24,25.47,31.68,40.95,0.210989010989011,NA,NA,NA,NA,NA,NA,NA,NA
150.111,-0.392098739294318,0.40202670917284516,28,"c(861540.254636, 861547.578353, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861932.086186, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384456.4535, 5384535.46671, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 
5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384349.2053, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",20,47.100906418402666,1328.2020827073318,247,X150.111,1.62,2.16,2.79,3.42,4.14,5.04,6.03,7.11,8.46,10.08,12.06,14.4,17.46,21.6,27.63,36.72,0.1642156862745098,NA,NA,NA,NA,NA,NA,NA,NA
150.154,-0.04622821445311902,0.7600428832887083,9,"c(861650.016843, 861658.143861, 861742.279266, 861749.277221, 861766.825518, 861827.221171, 861835.346752, 861842.626048, 861878.905016, 5384254.21955, 5384322.18887, 5384229.51871, 5384308.92822, 5384130.97295, 5384125.80544, 5384193.77517, 5384273.21275, 5384130.90274)",21,47.16176672542797,1276.8483862783394,51,X150.154,0.27,0.45,0.54,0.63,0.81,0.99,1.17,1.35,1.62,1.89,2.25,2.7,3.33,4.05,5.04,6.39,0.18309859154929578,NA,NA,NA,NA,NA,NA,NA,NA
150.173,-0.0017922017430538754,0.03902719767051,47,"c(861317.833663, 861318.621628, 861319.79879, 861321.671168, 861325.268625, 861325.326468, 861325.624671, 861399.701586, 861426.950281, 861433.952425, 861434.738929, 861442.0644, 861449.065206, 861456.107284, 861525.14413, 861532.126889, 861532.469193, 861540.254636, 861543.711797, 861547.235005, 861547.578353, 861617.707028, 861650.016843, 861658.143861, 861665.122222, 861672.119962, 861700.173228, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861766.825518, 861771.374164, 
861827.221171, 861835.346752, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861932.086186, 861933.149237, 861939.836933, 861940.143675, 861947.112887, 5384288.64592, 5384355.89093, 5384647.77876, 5384704.00748, 5384592.27361, 5384513.56077, 5384435.29947, 5384745.49557, 5384243.35456, 5384322.76334, 5384390.00847, 5384469.02141, 5384548.43025, 5384627.41541, 5384230.78608, 5384388.48445, 5384309.79923, 5384456.4535, 5384120.52742, 5384614.15194, 5384535.46671, 
5384127.82162, 5384254.21955, 5384322.18887, 5384479.8877, 5384559.29705, 5384124.4008, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384130.97295, 5384614.00654, 5384125.80544, 5384193.77517, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384349.2053, 5384416.47881, 5384574.15071, 5384495.88878, 5384653.58857)",22,47.079532547376644,1377.7504843337026,402,X150.173,2.61,3.42,4.32,5.31,6.39,7.65,9,10.71,12.6,15.03,18,21.87,26.82,33.3,41.76,54.54,0.16501650165016502,NA,NA,NA,NA,NA,NA,NA,NA
150.191,0.8226674704925248,-0.027875721002696925,14,"c(861319.272677, 861393.26768, 861419.623465, 861426.950281, 861468.348392, 861525.14413, 861532.469193, 861543.711797, 861617.707028, 861650.016843, 861658.143861, 861700.173228, 861742.279266, 861766.825518, 5384120.6555, 5384127.94674, 5384164.34166, 5384243.35456, 5384124.22267, 5384230.78608, 5384309.79923, 5384120.52742, 5384127.82162, 5384254.21955, 5384322.18887, 5384124.4008, 5384229.51871, 5384130.97295)",23,46.89772566928659,1473.6206507528982,186,X150.191,1.71,2.25,2.79,3.33,4.05,4.77,5.58,6.48,7.65,8.82,10.26,11.97,13.95,16.2,19.26,23.94,0.23308270676691728,NA,NA,NA,NA,NA,NA,NA,NA
150.232,0.5713278448453155,-0.111038812538726,21,"c(861317.833663, 861317.848511, 861318.621628, 861325.326468, 861325.624671, 861426.950281, 861433.952425, 861434.738929, 861442.0644, 861449.065206, 861525.14413, 861532.126889, 861532.469193, 861540.254636, 861617.707028, 861650.016843, 861658.143861, 861700.173228, 861742.279266, 861749.277221, 861766.825518, 5384288.64592, 5384210.3568, 5384355.89093, 5384513.56077, 5384435.29947, 5384243.35456, 5384322.76334, 5384390.00847, 5384469.02141, 5384548.43025, 5384230.78608, 5384388.48445, 5384309.79923, 
5384456.4535, 5384127.82162, 5384254.21955, 5384322.18887, 5384124.4008, 5384229.51871, 5384308.92822, 5384130.97295)",24,46.98884388130743,1331.7504934259757,261,X150.232,2.34,3.06,3.78,4.59,5.49,6.48,7.56,8.73,10.08,11.7,13.41,15.39,17.91,21.06,25.56,32.85,0.23013698630136983,NA,NA,NA,NA,NA,NA,NA,NA
150.273,-0.45714262097624386,0.8291457164832394,3,"c(861878.905016, 861923.245794, 861942.669778, 5384130.90274, 5384135.27621, 5384091.58376)",25,46.84118802619703,1467.2706113873105,66,X150.273,0.54,0.72,0.99,1.17,1.35,1.62,1.89,2.25,2.61,3.06,3.51,4.05,4.68,5.49,6.75,8.64,0.21874999999999997,NA,NA,NA,NA,NA,NA,NA,NA
150.314,-0.6276933564043486,0.13873395806576108,16,"c(861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861932.086186, 861933.149237, 861939.836933, 861940.143675, 861947.112887, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384349.2053, 5384416.47881, 5384574.15071, 5384495.88878, 5384653.58857)",26,47.090906175516416,1384.3775293382548,118,X150.314,0.99,1.35,1.71,2.07,2.43,2.88,3.42,3.96,4.59,5.31,6.21,7.2,8.55,10.44,13.32,17.91,0.19095477386934673,NA,NA,NA,NA,NA,NA,NA,NA
150.332,-0.055887994131017964,0.03323463651749037,33,"c(861399.701586, 861456.107284, 861474.774416, 861532.126889, 861540.254636, 861547.235005, 861547.578353, 861548.761417, 861554.275434, 861624.158813, 861650.016843, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861705.488155, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.756188, 861843.061333, 861849.72802, 861885.287111, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384745.49557, 
5384627.41541, 5384741.77222, 5384388.48445, 5384456.4535, 5384614.15194, 5384535.46671, 5384749.06613, 5384693.13733, 5384744.94889, 5384254.21955, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384752.96884, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384497.40567, 5384419.14384, 5384655.10513, 5384748.45621, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",27,47.15695718129476,1344.349587673611,360,X150.332,3.69,4.77,5.85,7.11,8.46,9.9,11.43,13.14,15.12,17.28,19.89,22.95,26.82,31.68,37.8,47.16,0.24236641221374047,NA,NA,NA,NA,NA,NA,NA,NA
150.373,0.6185349165474759,0.12097042522627191,8,"c(861532.126889, 861532.469193, 861617.707028, 861650.016843, 861658.143861, 861742.279266, 861749.277221, 861757.402843, 5384388.48445, 5384309.79923, 5384127.82162, 5384254.21955, 5384322.18887, 5384229.51871, 5384308.92822, 5384376.89778)",28,47.028184003608175,1360.6286961755088,86,X150.373,0.72,0.9,1.17,1.44,1.71,1.98,2.34,2.79,3.24,3.78,4.32,4.95,5.67,6.57,7.74,9.63,0.24299065420560745,NA,NA,NA,NA,NA,NA,NA,NA
150.392,0.08254561645812265,-0.17608580392064174,26,"c(861317.286826, 861317.833663, 861318.621628, 861319.79879, 861321.671168, 861325.268625, 861325.326468, 861325.624671, 861399.701586, 861433.952425, 861434.738929, 861442.0644, 861449.065206, 861456.107284, 861474.774416, 861532.126889, 861532.469193, 861540.254636, 861547.235005, 861547.578353, 861650.016843, 861658.143861, 861665.122222, 861672.119962, 861749.277221, 861757.402843, 5384748.49633, 5384288.64592, 5384355.89093, 5384647.77876, 5384704.00748, 5384592.27361, 5384513.56077, 5384435.29947, 
5384745.49557, 5384322.76334, 5384390.00847, 5384469.02141, 5384548.43025, 5384627.41541, 5384741.77222, 5384388.48445, 5384309.79923, 5384456.4535, 5384614.15194, 5384535.46671, 5384254.21955, 5384322.18887, 5384479.8877, 5384559.29705, 5384308.92822, 5384376.89778)",29,47.20471821890937,1338.5773896111382,288,X150.392,2.88,3.69,4.59,5.49,6.48,7.65,8.82,10.17,11.7,13.41,15.48,18,21.24,25.74,32.13,41.67,0.21166306695464362,NA,NA,NA,NA,NA,NA,NA,NA
